City,PM2.5,PM10,CO,NO2,SO2,O3,Temperature,Humidity,AQI,Category
Kolkata,113.6,302.9,2.57,10.8,79.9,117.9,41.0,89.5,174.1,Unhealthy
Bengaluru,104.6,173.7,3.92,108.8,14.8,5.3,22.5,89.5,148.3,Unhealthy for Sensitive Groups
Patna,108.6,335.5,4.48,68.9,58.0,25.9,19.5,92.7,187.7,Unhealthy
Mumbai,19.9,116.6,0.42,59.8,73.7,76.7,11.8,58.1,72.2,Moderate
Jaipur,150.8,239.6,1.21,18.8,71.4,38.2,29.0,66.5,146.2,Unhealthy for Sensitive Groups
Mumbai,143.5,117.6,1.32,82.0,26.5,40.9,14.2,68.4,120.5,Unhealthy for Sensitive Groups
Chennai,7.3,221.2,2.62,16.5,43.9,73.3,14.2,46.2,77.7,Moderate
Bengaluru,95.5,63.6,3.79,85.9,49.7,138.3,30.9,20.6,125.3,Unhealthy for Sensitive Groups
Hyderabad,233.3,45.2,3.98,35.4,71.4,105.2,15.0,41.1,157.8,Unhealthy
Delhi,54.9,225.6,1.34,61.2,72.6,119.2,13.0,51.8,108.5,Unhealthy for Sensitive Groups
Kolkata,86.7,54.5,4.41,23.6,36.5,100.3,27.9,28.4,114.8,Unhealthy for Sensitive Groups
Hyderabad,138.7,293.8,2.7,22.0,11.9,46.6,38.8,79.7,175.8,Unhealthy
Kolkata,56.5,94.8,0.64,94.7,71.0,59.9,29.9,31.6,91.2,Moderate
Chennai,244.2,285.7,3.99,7.9,59.5,49.8,39.8,80.2,233.6,Very Unhealthy
Chennai,70.4,277.7,0.66,105.3,69.0,35.0,36.1,54.5,124.3,Unhealthy for Sensitive Groups
Patna,59.6,234.4,1.91,37.0,7.4,109.4,21.2,58.2,119.9,Unhealthy for Sensitive Groups
Hyderabad,86.1,19.4,3.97,35.0,47.3,137.8,11.2,64.7,89.4,Moderate
Chennai,111.9,344.6,0.7,108.4,16.8,11.0,24.0,59.0,169.7,Unhealthy
Pune,94.2,33.8,3.06,43.0,26.5,119.5,33.0,42.5,86.5,Moderate
Pune,84.9,247.1,2.58,27.1,53.9,56.2,33.9,33.1,135.0,Unhealthy for Sensitive Groups
Lucknow,139.2,10.1,1.43,54.4,47.2,93.4,24.9,53.2,86.5,Moderate
Chennai,199.5,336.3,3.36,80.8,24.1,94.6,29.8,27.0,235.0,Very Unhealthy
Jaipur,169.8,86.4,1.06,7.8,21.1,69.1,37.2,25.5,111.6,Unhealthy for Sensitive Groups
Pune,52.6,246.8,2.33,33.1,53.2,5.7,34.0,77.8,101.8,Unhealthy for Sensitive Groups
Patna,58.6,283.4,3.19,58.4,45.5,128.9,13.9,30.0,143.1,Unhealthy for Sensitive Groups
Kolkata,247.0,212.5,4.29,107.5,49.8,102.1,26.2,82.3,227.3,Very Unhealthy
Mumbai,187.2,171.4,1.31,33.4,51.7,108.4,26.7,67.0,147.5,Unhealthy for Sensitive Groups
Pune,179.8,89.7,1.64,107.7,8.3,25.4,22.3,31.5,126.5,Unhealthy for Sensitive Groups
Jaipur,104.9,194.5,1.99,28.8,34.8,127.2,28.7,72.2,138.5,Unhealthy for Sensitive Groups
Jaipur,98.2,12.0,1.71,91.6,68.6,133.7,23.4,76.1,90.8,Moderate
Kolkata,225.0,176.0,1.37,60.8,32.3,95.3,35.5,74.3,184.8,Unhealthy
Bengaluru,245.3,191.6,4.1,73.1,53.7,16.3,23.7,85.0,197.9,Unhealthy
Delhi,97.9,82.0,1.61,92.5,31.6,106.5,36.6,38.9,88.8,Moderate
Delhi,188.5,27.7,4.29,30.8,7.4,134.2,11.3,22.3,133.1,Unhealthy for Sensitive Groups
Mumbai,157.2,91.1,2.24,18.2,75.9,67.8,18.2,47.7,128.2,Unhealthy for Sensitive Groups
Chennai,195.6,65.7,1.54,71.5,74.5,82.7,39.1,48.1,152.5,Unhealthy
Delhi,23.6,244.8,2.9,16.7,62.3,119.8,29.2,29.1,125.4,Unhealthy for Sensitive Groups
Lucknow,90.1,155.6,1.79,63.2,28.6,119.7,36.3,27.9,127.7,Unhealthy for Sensitive Groups
Jaipur,178.3,158.1,3.36,116.0,23.1,114.1,27.2,56.3,171.9,Unhealthy
Delhi,70.8,299.6,3.77,15.0,70.8,37.9,24.9,65.8,143.9,Unhealthy for Sensitive Groups
Patna,126.1,120.5,2.3,45.8,22.2,42.8,29.1,86.0,118.6,Unhealthy for Sensitive Groups
Mumbai,237.3,39.1,3.3,61.2,61.1,98.2,30.7,56.8,172.7,Unhealthy
Hyderabad,77.1,147.5,1.25,81.4,30.8,79.7,21.0,94.7,103.3,Unhealthy for Sensitive Groups
Chennai,177.2,102.1,1.28,18.9,17.0,21.1,27.1,77.2,111.7,Unhealthy for Sensitive Groups
Bengaluru,186.0,104.0,2.74,92.4,48.5,137.4,36.6,42.2,154.8,Unhealthy
Delhi,8.5,191.6,1.38,117.0,45.2,99.2,14.0,85.1,90.6,Moderate
Mumbai,145.6,169.6,2.09,26.2,6.0,132.0,25.3,81.7,135.3,Unhealthy for Sensitive Groups
Jaipur,146.4,243.4,0.85,98.3,76.0,16.5,17.9,61.9,153.0,Unhealthy
Jaipur,198.7,86.7,2.45,56.8,36.5,121.1,41.7,42.9,154.2,Unhealthy
Pune,240.2,43.7,3.48,76.9,22.6,16.0,17.7,61.4,151.0,Unhealthy
Jaipur,115.4,211.9,1.45,31.6,57.1,99.9,24.5,71.6,145.5,Unhealthy for Sensitive Groups
Bengaluru,167.0,327.4,2.03,67.6,52.5,127.6,36.5,25.4,186.5,Unhealthy
Lucknow,150.8,290.2,4.16,55.5,38.6,46.1,22.9,40.4,189.5,Unhealthy
Delhi,24.7,23.6,2.06,42.1,21.5,17.3,40.8,82.7,45.0,Good
Jaipur,249.9,238.6,1.36,9.6,61.0,68.5,30.8,88.7,184.5,Unhealthy
Lucknow,111.8,286.8,4.37,59.1,33.9,48.3,13.3,32.1,169.3,Unhealthy
Patna,75.6,331.4,3.7,68.3,37.5,47.5,20.3,92.8,160.2,Unhealthy
Delhi,207.1,10.4,3.94,58.1,6.2,75.0,29.9,57.4,140.0,Unhealthy for Sensitive Groups
Kolkata,54.9,196.7,4.19,55.4,56.5,21.4,41.1,65.7,113.9,Unhealthy for Sensitive Groups
Bengaluru,81.1,14.6,1.95,30.8,67.6,20.3,40.3,68.6,56.8,Moderate
Kolkata,129.7,103.0,3.79,117.7,21.0,79.4,22.3,89.1,139.6,Unhealthy for Sensitive Groups
Jaipur,216.7,103.9,3.6,52.7,74.9,73.5,36.3,41.2,165.3,Unhealthy
Chennai,147.1,234.4,3.92,56.4,39.8,49.9,34.4,48.3,184.3,Unhealthy
Kolkata,245.3,91.2,1.85,103.4,34.0,48.0,25.1,88.5,166.0,Unhealthy
Kolkata,126.4,22.6,2.36,72.9,69.8,123.0,24.1,59.4,105.2,Unhealthy for Sensitive Groups
Patna,105.4,232.6,0.86,59.0,77.6,50.7,32.2,68.7,141.6,Unhealthy for Sensitive Groups
Chennai,98.1,117.7,3.29,92.3,70.0,9.8,12.2,67.3,132.6,Unhealthy for Sensitive Groups
Delhi,188.0,157.6,0.62,77.9,70.1,64.9,32.2,87.8,137.2,Unhealthy for Sensitive Groups
Jaipur,76.9,137.4,0.83,66.1,46.1,112.0,15.4,25.9,108.2,Unhealthy for Sensitive Groups
Bengaluru,172.4,179.2,2.71,31.7,51.8,67.0,31.3,87.4,156.6,Unhealthy
Chennai,171.0,63.7,2.1,44.7,47.8,91.3,23.6,38.8,137.0,Unhealthy for Sensitive Groups
Pune,249.8,300.1,0.66,48.9,30.0,44.9,32.4,21.6,215.5,Very Unhealthy
Chennai,72.2,202.4,3.15,90.6,5.8,86.9,25.9,87.8,122.0,Unhealthy for Sensitive Groups
Delhi,153.7,129.8,2.94,76.4,54.9,102.3,31.1,82.9,152.0,Unhealthy
Patna,80.7,159.9,2.69,89.2,9.0,44.8,33.9,33.2,104.0,Unhealthy for Sensitive Groups
Hyderabad,219.7,134.4,2.36,36.3,14.8,128.4,40.2,92.6,160.8,Unhealthy
Patna,202.0,169.2,0.52,91.7,19.6,96.3,31.6,49.8,169.8,Unhealthy
Hyderabad,94.6,278.8,0.26,66.7,37.5,95.8,31.5,63.8,143.7,Unhealthy for Sensitive Groups
Bengaluru,31.5,89.5,0.31,106.7,45.8,128.6,17.1,24.7,77.4,Moderate
Hyderabad,164.1,49.7,0.39,9.3,79.7,20.7,17.5,60.3,95.3,Moderate
Pune,169.3,262.7,4.27,53.2,59.9,25.9,23.3,27.4,190.3,Unhealthy
Hyderabad,235.1,105.1,3.17,30.0,36.7,36.9,21.6,93.6,163.5,Unhealthy
Delhi,19.8,103.8,4.36,114.1,66.3,17.4,16.8,68.0,107.5,Unhealthy for Sensitive Groups
Hyderabad,197.8,92.8,0.74,69.9,7.4,108.3,16.6,36.2,147.9,Unhealthy for Sensitive Groups
Delhi,194.7,278.1,2.76,36.9,78.8,138.3,27.3,79.9,189.0,Unhealthy
Mumbai,37.3,131.8,3.59,72.7,3.2,40.8,14.1,51.6,80.9,Moderate
Patna,121.7,274.5,2.41,17.5,41.3,132.6,11.4,78.7,168.9,Unhealthy
Mumbai,78.9,228.7,0.33,119.8,68.1,62.5,13.5,73.4,121.4,Unhealthy for Sensitive Groups
Patna,83.9,60.4,0.74,76.8,47.7,101.1,22.2,64.8,75.0,Moderate
Chennai,153.3,43.7,3.22,103.1,52.8,108.8,33.1,36.1,131.5,Unhealthy for Sensitive Groups
Lucknow,106.4,291.3,1.91,88.9,26.4,47.2,18.2,91.5,160.3,Unhealthy
Hyderabad,21.4,292.8,0.6,16.1,59.6,114.6,27.8,64.0,104.7,Unhealthy for Sensitive Groups
Mumbai,169.2,149.7,3.96,113.2,35.0,128.6,11.6,41.6,168.4,Unhealthy
Pune,146.6,82.3,3.02,30.8,10.4,119.1,21.8,77.2,126.7,Unhealthy for Sensitive Groups
Kolkata,212.1,341.3,3.72,75.6,52.1,8.5,39.7,82.2,219.7,Very Unhealthy
Delhi,72.0,269.2,4.16,45.4,16.1,24.3,31.0,25.2,150.0,Unhealthy for Sensitive Groups
Delhi,27.5,190.4,1.82,57.2,14.3,47.1,20.4,90.6,90.4,Moderate
Patna,43.1,266.5,0.41,14.4,36.6,62.2,29.4,51.1,90.2,Moderate
Delhi,32.9,156.2,1.42,83.0,40.0,95.1,11.5,49.6,90.5,Moderate
Patna,55.1,331.4,3.5,92.9,24.6,21.2,25.9,52.3,141.9,Unhealthy for Sensitive Groups
Hyderabad,177.4,180.1,3.78,97.7,7.6,121.3,11.4,21.4,191.5,Unhealthy
Hyderabad,146.1,205.0,3.25,53.0,11.0,7.8,20.4,80.1,155.9,Unhealthy
Kolkata,26.6,297.1,1.25,72.7,42.9,58.4,19.9,45.5,109.7,Unhealthy for Sensitive Groups
Mumbai,23.7,225.3,2.48,27.3,62.5,52.4,40.7,68.4,89.0,Moderate
Jaipur,40.9,77.1,2.79,92.4,53.1,28.9,34.7,57.1,87.8,Moderate
Lucknow,115.0,324.2,2.63,78.1,50.7,121.7,30.1,31.3,165.2,Unhealthy
Mumbai,159.7,280.8,2.74,45.5,7.8,67.3,11.2,47.7,169.8,Unhealthy
Hyderabad,155.7,182.4,2.19,68.7,63.8,125.9,24.4,80.7,162.0,Unhealthy
Delhi,153.2,180.5,4.32,56.8,65.3,118.0,41.4,26.3,175.0,Unhealthy
Jaipur,65.7,158.8,2.09,65.1,14.4,55.3,19.1,50.7,95.9,Moderate
Jaipur,17.8,224.5,1.64,42.9,45.5,57.2,18.1,83.9,105.3,Unhealthy for Sensitive Groups
Mumbai,219.0,123.3,2.71,21.3,29.3,135.6,32.4,49.4,168.9,Unhealthy
Pune,80.8,138.1,3.6,98.5,54.3,116.9,33.6,71.4,127.8,Unhealthy for Sensitive Groups
Bengaluru,129.6,16.2,1.53,114.4,28.7,108.4,16.1,95.0,91.3,Moderate
Pune,211.9,44.4,3.51,101.0,70.9,10.1,20.8,77.5,145.0,Unhealthy for Sensitive Groups
Lucknow,42.8,71.5,3.18,76.8,72.4,102.4,11.4,47.3,93.6,Moderate
Jaipur,154.6,265.8,3.57,31.9,20.7,135.4,35.1,87.8,171.3,Unhealthy
Bengaluru,246.2,167.0,1.41,48.9,43.1,135.4,36.1,80.1,173.2,Unhealthy
Lucknow,17.8,173.4,1.8,112.4,57.5,74.6,14.0,26.3,82.3,Moderate
Patna,226.8,60.1,2.08,113.8,19.3,65.9,21.2,22.0,143.5,Unhealthy for Sensitive Groups
Delhi,96.6,141.3,0.55,30.8,26.9,18.4,32.9,45.1,80.6,Moderate
Kolkata,75.3,292.1,3.19,21.0,57.0,65.6,10.2,25.9,137.4,Unhealthy for Sensitive Groups
Lucknow,139.5,257.3,2.47,17.8,24.5,45.7,11.5,51.5,163.5,Unhealthy
Hyderabad,20.4,294.5,2.35,66.6,51.3,82.6,33.0,41.8,106.5,Unhealthy for Sensitive Groups
Patna,63.9,151.6,3.06,14.8,78.0,14.1,26.8,58.0,115.2,Unhealthy for Sensitive Groups
Mumbai,10.0,306.9,0.39,49.5,31.1,105.9,21.4,25.1,93.9,Moderate
Lucknow,194.0,260.0,1.63,10.1,44.6,114.8,15.6,78.4,177.4,Unhealthy
Bengaluru,159.8,285.9,0.47,94.3,37.7,44.6,11.4,35.0,153.7,Unhealthy
Hyderabad,131.3,346.3,2.54,34.1,60.8,30.8,21.4,78.6,189.1,Unhealthy
Hyderabad,71.9,281.8,2.08,51.0,36.3,134.1,20.8,34.0,145.1,Unhealthy for Sensitive Groups
Mumbai,231.5,186.6,3.64,88.6,8.2,86.3,36.3,60.9,194.6,Unhealthy
Jaipur,85.3,110.5,2.12,87.5,15.0,64.9,24.3,74.5,114.2,Unhealthy for Sensitive Groups
Delhi,249.5,103.3,4.41,114.0,7.9,91.1,21.6,80.1,202.9,Very Unhealthy
Jaipur,40.0,216.6,3.56,9.0,7.2,110.1,21.7,48.7,112.3,Unhealthy for Sensitive Groups
Mumbai,42.6,163.0,1.8,56.1,8.0,23.6,21.7,43.6,78.4,Moderate
Lucknow,11.3,73.3,2.43,110.1,11.2,109.6,32.5,36.1,71.3,Moderate
Hyderabad,54.0,56.1,0.52,24.9,57.6,139.6,35.9,92.6,75.2,Moderate
Chennai,178.8,197.0,1.45,39.5,14.3,100.8,32.4,33.1,151.3,Unhealthy
Jaipur,34.7,78.3,0.8,95.9,4.1,79.8,21.8,80.3,63.4,Moderate
Hyderabad,221.6,32.4,1.91,87.4,39.3,60.5,23.1,63.1,132.3,Unhealthy for Sensitive Groups
Pune,162.4,163.0,3.12,44.6,70.5,110.3,30.5,33.6,172.8,Unhealthy
Patna,128.2,305.2,3.77,64.6,25.7,26.9,39.9,36.9,191.2,Unhealthy
Kolkata,224.3,297.6,1.28,78.0,45.0,21.9,19.7,60.0,202.5,Very Unhealthy
Mumbai,150.0,207.4,0.94,76.8,72.4,50.6,39.6,23.1,158.6,Unhealthy
Bengaluru,16.1,228.1,2.68,79.9,61.8,61.2,30.4,57.4,110.7,Unhealthy for Sensitive Groups
Lucknow,162.3,112.7,1.25,97.8,33.7,66.2,32.0,31.9,130.7,Unhealthy for Sensitive Groups
Patna,55.0,216.3,1.54,87.6,59.3,121.2,41.2,29.8,113.6,Unhealthy for Sensitive Groups
Kolkata,31.0,92.2,0.73,56.7,13.0,11.8,40.3,84.8,50.8,Moderate
Mumbai,204.3,327.5,3.3,26.8,14.4,139.5,24.9,85.9,215.1,Very Unhealthy
Lucknow,236.6,181.9,4.36,29.7,29.5,11.8,25.8,86.2,199.1,Unhealthy
Patna,75.0,12.8,0.66,20.4,22.6,54.4,22.9,23.4,37.4,Good
Mumbai,52.7,198.1,0.52,63.0,61.6,42.8,41.7,71.0,83.3,Moderate
Kolkata,101.5,280.3,1.66,113.0,60.9,31.9,26.3,57.5,139.4,Unhealthy for Sensitive Groups
Jaipur,179.8,283.3,2.43,22.1,71.7,23.9,39.8,43.9,178.7,Unhealthy
Mumbai,186.1,111.7,1.65,100.3,43.5,100.7,19.6,81.2,146.5,Unhealthy for Sensitive Groups
Jaipur,245.1,208.5,3.63,88.4,55.7,8.6,25.2,92.5,218.3,Very Unhealthy
Delhi,146.5,255.3,2.71,24.6,51.1,88.7,36.9,31.1,170.8,Unhealthy
Lucknow,145.3,248.2,1.02,55.7,34.7,60.7,16.5,57.6,154.3,Unhealthy
Kolkata,218.8,260.2,0.47,20.9,18.2,48.9,31.2,59.4,169.7,Unhealthy
Chennai,117.6,191.3,2.55,82.7,69.7,96.9,35.7,39.8,145.4,Unhealthy for Sensitive Groups
Patna,73.4,111.5,4.25,118.0,62.2,100.2,32.1,56.7,124.0,Unhealthy for Sensitive Groups
Kolkata,233.8,280.4,1.38,19.0,54.8,56.3,41.4,81.4,211.2,Very Unhealthy
Patna,76.2,107.8,3.27,44.8,36.5,39.6,25.3,35.2,101.0,Unhealthy for Sensitive Groups
Pune,175.6,56.7,2.85,72.5,20.9,95.4,27.0,67.8,121.8,Unhealthy for Sensitive Groups
Lucknow,85.9,170.6,3.13,20.8,77.2,137.0,15.1,69.0,136.7,Unhealthy for Sensitive Groups
Delhi,122.0,77.8,4.34,41.9,52.4,127.6,12.9,63.1,129.5,Unhealthy for Sensitive Groups
Bengaluru,228.7,69.5,3.99,25.2,73.7,139.6,22.7,57.2,184.8,Unhealthy
Kolkata,219.8,13.2,2.64,17.3,78.7,43.4,41.7,60.7,135.1,Unhealthy for Sensitive Groups
Bengaluru,213.5,169.1,1.03,18.0,14.7,67.0,18.2,34.0,162.3,Unhealthy
Kolkata,144.1,267.5,0.95,103.5,72.0,116.6,26.5,26.5,173.8,Unhealthy
Jaipur,245.5,172.3,4.22,5.8,31.9,65.3,18.5,44.7,197.8,Unhealthy
Bengaluru,7.8,232.3,3.18,12.1,11.2,46.4,23.0,57.7,104.8,Unhealthy for Sensitive Groups
Hyderabad,174.1,227.2,4.24,47.3,19.2,134.2,25.3,54.1,201.8,Very Unhealthy
Mumbai,106.9,196.7,2.22,66.8,53.8,34.5,17.9,76.6,143.0,Unhealthy for Sensitive Groups
Kolkata,133.7,189.6,1.76,110.5,10.8,116.9,38.9,35.2,148.4,Unhealthy for Sensitive Groups
Patna,85.4,186.9,0.7,28.6,47.5,17.3,26.3,80.7,98.7,Moderate
Mumbai,106.8,201.7,2.6,82.4,26.0,7.9,18.1,20.2,125.8,Unhealthy for Sensitive Groups
Kolkata,16.1,127.1,0.47,119.3,74.9,14.3,39.9,22.4,64.9,Moderate
Patna,192.6,342.6,2.98,53.3,79.4,56.6,37.8,88.0,210.7,Very Unhealthy
Bengaluru,37.6,302.5,0.71,119.2,32.7,22.2,41.3,82.6,128.0,Unhealthy for Sensitive Groups
Mumbai,118.4,254.5,2.02,48.6,19.9,67.2,15.0,34.1,157.9,Unhealthy
Delhi,12.9,234.5,2.84,112.7,71.3,37.5,12.2,64.5,110.8,Unhealthy for Sensitive Groups
Jaipur,65.0,25.0,2.09,67.1,60.8,109.8,14.5,94.5,66.9,Moderate
Delhi,83.1,213.3,3.09,41.9,25.5,24.3,31.1,36.6,119.5,Unhealthy for Sensitive Groups
Pune,141.4,211.2,3.36,25.1,54.9,80.0,11.5,45.8,161.4,Unhealthy
Kolkata,197.5,118.4,1.99,22.2,31.4,106.8,25.2,83.7,141.7,Unhealthy for Sensitive Groups
Lucknow,202.4,321.0,2.62,116.3,45.5,23.1,17.8,35.3,219.4,Very Unhealthy
Jaipur,212.5,41.4,3.32,26.9,22.9,95.9,29.3,85.5,135.8,Unhealthy for Sensitive Groups
Mumbai,182.5,200.0,2.26,105.0,28.0,134.2,10.5,90.3,191.5,Unhealthy
Lucknow,188.0,266.5,4.13,85.0,56.9,58.5,17.7,44.1,199.2,Unhealthy
Chennai,135.7,132.1,1.32,64.0,40.8,18.3,41.4,55.2,129.0,Unhealthy for Sensitive Groups
Kolkata,95.8,150.7,2.62,30.4,13.4,40.2,39.9,63.4,107.7,Unhealthy for Sensitive Groups
Lucknow,53.1,88.2,2.65,33.3,45.0,132.4,20.8,77.3,84.7,Moderate
Patna,117.9,259.1,1.71,21.1,44.6,29.8,38.5,94.3,154.0,Unhealthy
Delhi,13.3,297.9,4.26,81.8,61.6,60.7,37.0,37.4,142.2,Unhealthy for Sensitive Groups
Pune,58.6,165.0,0.46,78.3,74.8,128.2,31.1,21.2,99.0,Moderate
Mumbai,7.9,190.0,1.38,117.4,3.3,114.8,31.6,80.5,100.3,Unhealthy for Sensitive Groups
Lucknow,229.9,188.3,1.24,76.3,21.7,52.8,35.4,25.9,191.1,Unhealthy
Pune,143.4,346.7,1.17,83.7,68.1,93.3,37.5,77.0,172.9,Unhealthy
Mumbai,97.4,171.8,2.94,85.8,8.4,119.1,30.6,44.8,146.5,Unhealthy for Sensitive Groups
Bengaluru,224.2,322.5,1.19,108.6,56.0,81.5,18.7,89.3,223.0,Very Unhealthy
Pune,225.3,201.6,0.34,111.8,26.5,134.8,28.8,76.4,189.2,Unhealthy
Mumbai,232.6,111.8,2.63,70.2,68.3,96.4,27.3,48.8,183.6,Unhealthy
Hyderabad,127.7,341.3,0.43,55.3,67.4,51.0,34.6,91.6,160.4,Unhealthy
Mumbai,12.3,102.9,4.47,61.4,29.8,132.1,23.8,71.0,92.7,Moderate
Hyderabad,194.2,110.4,1.26,13.5,22.9,56.3,35.1,31.6,129.6,Unhealthy for Sensitive Groups
Pune,31.1,11.8,1.53,46.4,23.0,22.9,16.0,53.7,41.2,Good
Patna,30.3,40.5,2.58,73.6,63.2,121.6,10.4,51.0,77.4,Moderate
Pune,226.8,342.6,2.66,24.5,31.7,23.7,19.6,57.0,203.8,Very Unhealthy
Kolkata,72.6,111.9,3.57,46.5,75.6,102.3,25.9,66.3,108.1,Unhealthy for Sensitive Groups
Jaipur,79.6,332.6,1.63,76.3,64.7,49.5,20.7,81.2,162.9,Unhealthy
Lucknow,38.4,119.0,4.27,28.1,26.5,135.2,41.0,41.9,102.8,Unhealthy for Sensitive Groups
Kolkata,242.1,275.9,1.6,37.2,63.3,54.3,39.8,35.0,220.1,Very Unhealthy
Pune,172.0,197.0,4.3,58.1,57.3,64.2,19.3,72.0,188.4,Unhealthy
Jaipur,169.9,57.3,1.5,34.1,14.0,62.1,22.1,53.7,116.3,Unhealthy for Sensitive Groups
Mumbai,103.2,182.2,4.16,84.5,44.4,111.7,21.5,87.2,150.4,Unhealthy
Hyderabad,31.8,94.4,3.06,24.1,49.8,81.0,30.6,68.5,89.7,Moderate
Pune,241.6,156.4,0.25,34.8,41.8,75.0,28.6,63.1,162.0,Unhealthy
Kolkata,118.5,241.0,3.17,22.3,79.8,70.2,19.5,89.0,141.2,Unhealthy for Sensitive Groups
Delhi,90.3,126.6,3.57,64.9,29.2,18.2,33.1,53.9,101.2,Unhealthy for Sensitive Groups
Kolkata,203.5,49.1,3.85,79.5,54.8,27.2,41.5,38.3,143.1,Unhealthy for Sensitive Groups
Chennai,86.1,155.0,2.19,96.7,51.1,30.2,31.0,49.7,122.8,Unhealthy for Sensitive Groups
Patna,115.1,156.0,0.22,29.7,23.7,100.0,35.5,63.3,114.9,Unhealthy for Sensitive Groups
Jaipur,50.8,120.8,2.17,35.2,69.3,76.2,30.5,64.8,89.9,Moderate
Hyderabad,33.0,129.7,2.17,24.8,54.5,113.1,39.4,64.3,85.8,Moderate
Patna,33.9,113.8,0.99,84.7,41.8,61.5,14.4,48.8,62.6,Moderate
Hyderabad,174.9,229.4,4.5,68.8,40.2,23.9,20.1,53.8,173.9,Unhealthy
Lucknow,238.2,174.8,1.04,49.2,45.8,93.2,23.1,56.9,183.1,Unhealthy
Lucknow,124.7,38.1,0.33,92.5,24.8,42.1,27.2,32.6,85.8,Moderate
Patna,139.7,48.5,0.69,94.1,66.2,54.5,36.3,23.1,110.3,Unhealthy for Sensitive Groups
Mumbai,58.5,154.6,3.36,80.2,21.3,123.1,11.0,39.7,125.1,Unhealthy for Sensitive Groups
Kolkata,112.6,347.9,3.54,32.2,65.2,84.4,21.2,73.3,185.9,Unhealthy
Bengaluru,156.0,276.8,3.7,97.6,46.5,76.9,29.1,32.6,207.1,Very Unhealthy
Bengaluru,75.9,100.9,3.89,118.3,55.0,17.9,40.8,78.9,126.5,Unhealthy for Sensitive Groups
Jaipur,217.4,53.1,3.92,33.7,57.5,116.8,34.4,70.7,160.0,Unhealthy
Hyderabad,159.9,223.5,1.81,13.7,64.0,108.8,22.9,76.2,162.9,Unhealthy
Mumbai,116.4,175.9,2.7,104.9,68.1,17.6,41.1,67.6,146.3,Unhealthy for Sensitive Groups
Lucknow,199.9,145.2,4.36,99.9,40.6,48.6,19.1,61.0,171.7,Unhealthy
Lucknow,198.1,314.0,3.48,10.3,50.8,118.0,10.5,89.7,199.1,Unhealthy
Hyderabad,5.2,335.7,1.07,84.2,12.3,92.7,15.1,90.0,108.1,Unhealthy for Sensitive Groups
Mumbai,66.3,136.4,4.09,24.0,32.9,46.2,32.4,37.6,110.8,Unhealthy for Sensitive Groups
Pune,5.3,172.1,0.77,31.0,55.0,6.3,32.3,81.3,75.7,Moderate
Kolkata,175.0,172.4,1.18,15.3,64.9,18.9,21.8,42.4,136.6,Unhealthy for Sensitive Groups
Pune,162.2,240.2,0.49,69.8,49.6,27.2,21.2,36.0,160.8,Unhealthy
Kolkata,155.9,160.4,1.13,108.1,12.9,21.6,33.4,46.4,135.9,Unhealthy for Sensitive Groups
Bengaluru,65.7,229.2,1.27,74.1,58.3,43.5,40.1,22.0,126.3,Unhealthy for Sensitive Groups
Chennai,55.3,216.4,1.01,50.1,52.4,110.8,35.4,38.0,103.1,Unhealthy for Sensitive Groups
